filename	pheno	n_total	n_cases	n_ctrls	publication	ancestry	finngen_phenocode	effect_type	variant	chrom	pos	effect_allele	other_allele	effect	pval	build
AD_sumstats_Jansenetal.txt.gz	Alzheimers_Jansen_2019	455258	71880	383378	https://www.nature.com/articles/s41588-018-0311-9	European	G6_ALZHEIMER	BETA	SNP	CHR	BP	A1	A2	BETA	P	hg19
adhd_eur_jun2017.gz	ADHD	53293	19099	34194	https://www.biorxiv.org/content/early/2017/06/03/145581	European	F5_ADHD	OR	SNP	CHR	BP	A1	A2	OR	P	hg19
alsMetaSummaryStats_march21st2018.tab.gz	ALS_Nicolas_2018	80610	20806	59804	https://www.cell.com/neuron/references/S0896-6273(18)30148-X	European	G6_ALS	BETA	SNP	CHR	BP	Allele1	Allele2	Effect	P	hg19
Bipolar_vs_control_PGC_Cell_2018_formatted.txt.gz	bipolar_disorder	74194	20129	54065	PGC;Cell;2018;https://doi.org/10.1016/j.cell.2018.05.046	European	F5_BIPO	OR	variant	chr	pos	effect_allele	other_allele	OR	pval	hg19
cad.add.160614.website.txt.gz	coronary_artery_disease	184305	60801	123504	https://www.nature.com/articles/ng.3396	Trans-ancestry	I9_CHD	BETA	markername	chr	bp_hg19	effect_allele	noneffect_allele	beta	p_dgc	hg19
ckqny.scz2snpres.gz	Schizophrenia_PGC_2014	150064	36989	113075	https://www.nature.com/articles/nature13595	Trans-ancestry	F5_SCHZPHR	OR	snpid	hg19chrc	bp	a1	a2	or	p	hg19
daner_PGC_SCZ52_0513a.resultfiles_PGC_SCZ52_0513.sh2_nofin.gz	Schizophrenia_PGC_2014_noFinns	150064	36989	113075	PGC_schzizophrenia_GWAS_Ripke_et_al._excluding_Finnish	European	F5_SCHZPHR	OR	SNP	CHR	BP	A1	A2	OR	P	hg19
dpw_excludingFinnishStudies_4finngen.txt.gz	alcohol_consumption	527282	NA	NA	https://www.nature.com/articles/s41398-019-0676-2	European	NA	BETA	RSID	CHROM	POS	ALT	REF	Beta	PValue	hg19
EAGLE_AD_GWAS_results_2015.txt.gz	atopic_dermatitis	116863	21399	95464	https://www.nature.com/articles/ng.3424	Trans-ancestry	L12_ATOPIC	BETA	rsID	chromosome	position	reference_allele	other_allele	beta	p.value	hg19
Educational_Attainment_excl23andme_Lee_2018_NatGen_formatted.txt.gz	educational_attainment	766343	NA	NA	Lee;Nat_Gen;2018;https://doi.org/10.1038/s41588-018-0147-3	European	NA	BETA	variant	chr	pos	effect_allele	other_allele	beta	pval	hg19
